volcano_name,country,region,eruption_date,vei,sedimentation_rate_cm_per_year,measurement_method,distance_from_vent_km,time_period,reference,notes
Tambora,Indonesia,Sumbawa,1815,7,100.0,single-event tephra deposit,30,1815,"Sigurdsson and Carey 1989 Bull Volcanol","~1 m tephra at 30 km distance."
Tambora,Indonesia,Sumbawa,1815,7,30.0,single-event tephra deposit,80,1815,"Oppenheimer 2003 Prog Phys Geog","~30 cm at 80 km distance."
Tambora,Indonesia,Sumbawa,1815,7,5.0,single-event tephra deposit,200,1815,"Self et al. 2004 Geophys Res Lett","~5 cm at 200 km. Estimates vary."
Krakatau,Indonesia,Sunda Strait,1883,6,200.0,single-event tephra deposit,10,1883,"Verbeek 1885 Krakatau","Enormous deposits near vent including tsunami deposits."
Krakatau,Indonesia,Sunda Strait,1883,6,20.0,single-event tephra deposit,50,1883,"Verbeek 1885 Krakatau","~20 cm tephra at 50 km."
Krakatau,Indonesia,Sunda Strait,1883,6,5.0,single-event tephra deposit,150,1883,"Verbeek 1885 Krakatau","~5 cm at 150 km."
Samalas (Rinjani),Indonesia,Lombok,1257,7,300.0,stratigraphic measurement,15,1257,"Lavigne et al. 2013 PNAS","~3 m deposit at 15 km. Destroyed Lombok civilization."
Samalas (Rinjani),Indonesia,Lombok,1257,7,50.0,stratigraphic measurement,40,1257,"Lavigne et al. 2013 PNAS","~50 cm at 40 km."
Samalas (Rinjani),Indonesia,Lombok,1257,7,10.0,ice core extrapolation,100,1257,"Lavigne et al. 2013 PNAS","Estimated from isopach mapping."
Toba,Indonesia,Sumatra,74000 BP,8,1500.0,stratigraphic measurement,40,74000 BP,"Chesner et al. 1991 Geology","~15 m Youngest Toba Tuff at 40 km. Single event."
Toba,Indonesia,Sumatra,74000 BP,8,600.0,stratigraphic measurement,100,74000 BP,"Rose and Chesner 1990 Tectonophysics","~6 m at 100 km."
Toba,Indonesia,Sumatra,74000 BP,8,15.0,ice core and deep sea core,2000,74000 BP,"Petraglia et al. 2012 Science","~15 cm at Jwalapuram India (~2000 km). Measured in archaeological trench."
Vesuvius,Italy,Campania,79 CE,5,600.0,stratigraphic measurement (Pompeii),8,79 CE,"Sigurdsson et al. 1985 AJS","~6 m total deposit at Pompeii. Tephra fall + pyroclastic surge."
Vesuvius,Italy,Campania,79 CE,5,250.0,stratigraphic measurement (Herculaneum),7,79 CE,"Sigurdsson et al. 1985 AJS","~25 m pyroclastic flow deposit burying Herculaneum. Mostly flow not fall."
Vesuvius,Italy,Campania,79 CE,5,15.0,stratigraphic measurement,30,79 CE,"Lirer et al. 2001 JVGR","~15 cm at 30 km distance."
Vesuvius,Italy,Campania,1631,4,2.0,historical measurement,10,1631,"Rosi et al. 1993 JVGR","~2 cm at 10 km."
Mount St. Helens,USA,Washington,1980,5,100.0,field measurement of deposit thickness,10,1980,"Lipman and Mullineaux 1981 USGS PP 1250","~1 m at 10 km (lateral blast zone)."
Mount St. Helens,USA,Washington,1980,5,15.0,field measurement of deposit thickness,30,1980,"Sarna-Wojcicki et al. 1981 USGS PP 1250","~15 cm at 30 km downwind."
Mount St. Helens,USA,Washington,1980,5,3.0,field measurement of deposit thickness,100,1980-1985,"Lipman and Mullineaux 1981 USGS PP 1250","~3 cm at 100 km."
Mount St. Helens,USA,Washington,1980,5,0.5,field measurement of deposit thickness,300,1980,"Sarna-Wojcicki et al. 1981 USGS PP 1250","Trace to 0.5 cm at 300 km."
Pinatubo,Philippines,Luzon,1991,6,200.0,field measurement of deposit thickness,10,1991,"Newhall and Punongbayan 1996 PHIVOLCS","~2 m at 10 km. Tephra + lahar."
Pinatubo,Philippines,Luzon,1991,6,50.0,field measurement of deposit thickness,25,1991,"Newhall and Punongbayan 1996 PHIVOLCS","~50 cm at 25 km."
Pinatubo,Philippines,Luzon,1991,6,15.0,field measurement of deposit thickness,50,1991-1995,"Newhall and Punongbayan 1996 PHIVOLCS","Includes post-eruption lahar remobilization."
Pinatubo,Philippines,Luzon,1991,6,1.5,post-eruption lahar remobilization,25,1991-2000,"Major et al. 1996 Nature","Average annual lahar deposit rate in valleys for 10 years post-eruption."
Fuego,Guatemala,Central America,2018,4,100.0,field measurement of deposit thickness,8,2018,"Pardini et al. 2019 Nat Hazards Earth Syst Sci","Pyroclastic flow deposit ~1 m at 8 km. San Miguel Los Lotes burial."
Fuego,Guatemala,Central America,2018,4,10.0,field measurement of deposit thickness,15,2018,"Pardini et al. 2019 Nat Hazards Earth Syst Sci","Lahar deposit at greater distance."
Fuego,Guatemala,Central America,ongoing,varies,0.5,long-term estimated average,10,1524-2025,"Estimated from eruption frequency","~500 years of frequent activity."
El Chichon,Mexico,Chiapas,1982,5,200.0,field measurement of deposit thickness,5,1982,"Sigurdsson et al. 1984 JVGR","~2 m near vent. Destroyed nearby villages."
El Chichon,Mexico,Chiapas,1982,5,10.0,field measurement of deposit thickness,30,1982,"Sigurdsson et al. 1984 JVGR","~10 cm at 30 km."
Cerro Negro,Nicaragua,Central America,1992,3,5.0,field measurement of deposit thickness,5,1992,"Connor and Connor 2006 GSA Special Paper","Small but frequent eruptions."
Galunggung,Indonesia,West Java,1822,5,100.0,historical reports,10,1822,"Bronto 1989 (approximate)","Major 1822 eruption. Destroyed settlements. Estimated ~1 m at 10 km."
Agung,Indonesia,Bali,1963,5,50.0,field measurement of deposit thickness,10,1963,"Self and Rampino 2012 Bull Volcanol","~50 cm at 10 km. Destroyed villages."
Agung,Indonesia,Bali,1963,5,5.0,field measurement of deposit thickness,30,1963,"Self and Rampino 2012 Bull Volcanol","~5 cm at 30 km."
Unzen,Japan,Kyushu,1991,3,10.0,field measurement of deposit thickness,5,1991-1995,"Nakada et al. 1999 JVGR","Pyroclastic flow and lahar deposits."
Mayon,Philippines,Luzon,ongoing,varies,2.0,long-term estimated average,10,1616-2025,"Newhall 1979 JVGR","Frequent eruptions. Long-term average."
Etna,Italy,Sicily,2001,2,3.0,field measurement of deposit thickness,5,2001,"Behncke and Neri 2003 JVGR","Lava flows and tephra. Limited area."
Nevado del Ruiz,Colombia,Andes,1985,3,300.0,single-event lahar deposit,30,1985,"Pierson et al. 1990 JVGR","Catastrophic lahar destroyed Armero. ~3 m at 30 km in river valley."
Nevado del Ruiz,Colombia,Andes,1985,3,0.5,tephra fall only,30,1985,"Pierson et al. 1990 JVGR","Tephra fall alone was minimal. Lahar was the killer."
Cotopaxi,Ecuador,Andes,1877,4,50.0,historical lahar measurement,30,1877,"Mothes et al. 1998 Bull Volcanol","Lahar deposits in valleys."
Soufriere Hills,Montserrat,Caribbean,1995-2010,3,5.0,long-term measurement,3,1995-2010,"Wadge et al. 2014 Geol Soc London Mem","Ongoing eruption. Pyroclastic deposits buried Plymouth."
Rabaul,Papua New Guinea,New Britain,1994,4,50.0,field measurement of deposit thickness,5,1994,"Blong and McKee 1995 Disasters","Tephra fall buried parts of Rabaul town."
Chaiten,Chile,Patagonia,2008,4,20.0,field measurement of deposit thickness,10,2008-2010,"Major and Lara 2013 Bull Volcanol","Tephra and lahar deposits."
Merapi (long-term soil),Indonesia,Central Java,N/A,N/A,0.2,soil accumulation rate,20,1000 years,"Estimated from andosol development rates","Background volcanic soil accumulation in absence of major eruptions. Non-event sedimentation."
Java (general volcanic soil),Indonesia,Java,N/A,N/A,0.1,soil accumulation rate,distal,10000 years,"Estimated from regional soil studies","Very long-term average background rate for volcanic terrain. Highly uncertain."
Kelud (long-term),Indonesia,East Java,N/A,N/A,0.7,inferred from archaeological burial,15,400-1919 CE,"VOLCARCH E070/E083 estimates","Inferred from colonial-era burial depth observations at Kelud-zone sites. See E083."
Arjuno-Welirang (long-term),Indonesia,East Java,N/A,N/A,0.4,inferred from archaeological burial,15,400-1900 CE,"VOLCARCH E070/E083 estimates","Inferred from burial depths at Malang-area sites. See E083."
Generic tropical volcano,N/A,N/A,N/A,N/A,0.5,literature review estimate,10,long-term,"Pyle 1989 Bull Volcanol model","Rough estimate for moderately active tropical stratovolcano at 10 km. Order of magnitude only."
Generic tropical volcano,N/A,N/A,N/A,N/A,2.0,literature review estimate,5,long-term,"Pyle 1989 Bull Volcanol model","Rough estimate proximal zone. High uncertainty."
