doi,year,citations,title,oa_url
"10.4000/archipel.362",2015,53,"Rethinking the Neolithic in Island Southeast Asia, with Particular Reference to the Archaeology of Timor‑Leste and Sulawesi","https://journals.openedition.org/archipel/pdf/362"
"10.1371/journal.pone.0161071",2016,47,"An Enduring Shell Artefact Tradition from Timor-Leste: Oliva Bead Production from the Pleistocene to Late Holocene at Jerimalai, Lene Hara, and Matja Kuru 1 and 2","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0161071&type=printable"
"10.1016/j.jhevol.2021.103075",2021,42,"Trophic ecology of a Late Pleistocene early modern human from tropical Southeast Asia inferred from zinc isotopes","https://www.sciencedirect.com/science/article/am/pii/S0047248421001275?via%3Dihub"
"10.22459/ta45.03.2017.15",2017,37,"The Origins and Arrival of the Earliest Domestic Animals in Mainland and Island Southeast Asia: A Developing Story of Complexity","https://doi.org/10.22459/ta45.03.2017.15"
"10.1007/s12520-017-0568-4",2017,37,"Taphonomy of bird (Aves) remains at Laili Cave, Timor-Leste, and implications for human-bird interactions during the Pleistocene","http://hdl.handle.net/10072/387418"
"10.3389/fevo.2016.00075",2016,36,"Deep Skull from Niah Cave and the Pleistocene Peopling of Southeast Asia","https://www.frontiersin.org/articles/10.3389/fevo.2016.00075/pdf"
"10.1038/s41598-021-87923-3",2021,34,"The effects of climate change on the Pleistocene rock art of Sulawesi","https://www.nature.com/articles/s41598-021-87923-3.pdf"
"10.22459/ta48.11.2018",2018,34,"The Archaeology of Sulawesi: Current Research on the Pleistocene to the Historic Period","https://press-files.anu.edu.au/downloads/press/n4569/pdf/book.pdf"
"10.70460/jpa.v1i1.7",2009,32,"New Radiocarbon Dates from the Bapot-1 Site in Saipan and Neolithic Dispersal by Stratified Diffusion","https://pacificarchaeology.org/index.php/journal/article/download/7/3"
"10.1353/ASI.2005.0006",2005,31,"Rock Art, Burials, and Habitations: Caves in East Kalimantan","https://scholarspace.manoa.hawaii.edu/bitstreams/64efef7c-b3ba-42be-a124-b7ab2343894d/download"
"10.1086/343817",2002,29,"Genetic, Linguistic and Archaeological Perspectives on Human Diversity in Southeast Asia","http://www.cell.com/article/S0002929707604297/pdf"
"10.1086/694414",2017,28,"The Timing and Nature of Human Colonization of Southeast Asia in the Late Pleistocene","http://hdl.handle.net/10072/369929"
"10.24832/amt.v37i1.1-17",2019,26,"Artefak Batu Preneolitik Situs Leang Jarie: bukti teknologi Maros point tertua di kawasan budaya Toalean, Sulawesi Selatan","https://jurnalarkeologi.kemdikbud.go.id/index.php/amerta/article/download/487/401"
"10.1371/journal.pone.0236719",2020,24,"Early ground axe technology in Wallacea: The first excavations on Obi Island","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0236719&type=printable"
"10.11646/zootaxa.3750.5.6",2013,24,"Bird fossils from Ankilitelo Cave: Inference about Holocene environmental changes in Southwestern Madagasca","https://zenodo.org/record/5272131"
"10.1016/j.microc.2019.01.001",2019,24,"Chemistry of prehistoric rock art pigments from the Indonesian island of Sulawesi","https://www.sciencedirect.com/science/article/pii/S0026265X18314073"
"10.1038/s41562-020-0837-6",2020,24,"Portable art from Pleistocene Sulawesi","http://hdl.handle.net/10072/395406"
"10.1126/sciadv.abq2574",2023,21,"Ancient DNA elucidates the lost world of western Indian Ocean giant tortoises and reveals a new extinct species from Madagascar","https://doi.org/10.1126/sciadv.abq2574"
"10.1371/journal.pone.0251138",2021,21,"A standardised classification scheme for the Mid-Holocene Toalean artefacts of South Sulawesi, Indonesia","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0251138&type=printable"
"10.3390/f8090336",2017,19,"Tree Growth Rings in Tropical Peat Swamp Forests of Kalimantan, Indonesia","https://www.mdpi.com/1999-4907/8/9/336/pdf?version=1504947546"
"10.3759/tropics.14.55",2004,18,"Charcoal and organic geochemical properties as an evidence of Holocene fires in tropical peatland, Central Kalimantan, Indonesia","https://www.jstage.jst.go.jp/article/tropics/14/1/14_1_55/_pdf"
"10.5334/oq.75",2020,18,"Taphonomic Analyses of Cave Breccia in Southeast Asia: A Review and Future Directions","http://www.openquaternary.com/articles/10.5334/oq.75/galley/117/download/"
"10.1016/j.quaint.2020.08.040",2020,18,"Sumatran orangutan diets in the Late Pleistocene as inferred from dental microwear texture analysis","https://www.sciencedirect.com/science/article/am/pii/S104061822030505X?via%3Dihub"
"10.3390/F8090336",2017,17,"Tree Growth Rings in Tropical Peat Swamp Forests of Kalimantan, Indonesia","https://www.mdpi.com/1999-4907/8/9/336/pdf?version=1504947546"
"10.24832/kapata.v14i2.534",2018,17,"Recent Rock Art Research on East Seram, Maluku: A key site in the rock art of West Papua and South East Maluku","https://kapata-arkeologi.kemdikbud.go.id/index.php/kapata/article/download/534/372"
"10.1371/journal.pone.0257273",2021,16,"Skeletal remains of a Pleistocene modern human (Homo sapiens) from Sulawesi","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0257273&type=printable"
"10.1016/j.jhevol.2019.07.002",2019,16,"Somewhere beyond the sea: Human cranial remains from the Lesser Sunda Islands (Alor Island, Indonesia) provide insights on Late Pleistocene peopling of Island Southeast Asia","http://hdl.handle.net/10072/391531"
"10.22459/ta48.11.2018.06",2018,15,"Hand stencils and boats in the painted rock art of the karst region of Muna Island, Southeast Sulawesi","https://doi.org/10.22459/ta48.11.2018.06"
"10.70460/jpa.v5i1.126",2014,12,"New ceramic data from East Kalimantan: Pottery chronology and the cord-marked and red-slipped sherds of Liang Abu's layer 2","https://pacificarchaeology.org/index.php/journal/article/download/126/Plutniak"
"10.1016/j.quascirev.2021.107313",2021,12,"A late Pleistocene to Holocene archaeological record from East Kalimantan, Borneo","http://hdl.handle.net/10072/413597"
"10.7152/jipa.v33i0.14511",2014,12,"THE EXCAVATION OF GUA PAYUNG, SOUTH KALIMANTAN, INDONESIA","https://journals.lib.washington.edu/index.php/BIPPA/article/download/14511/12333"
"10.1016/j.ara.2020.100191",2020,12,"Hand stencil discoveries at Lene Hara Cave hint at Pleistocene age for the earliest painted art in Timor-Leste","https://www.sciencedirect.com/science/article/pii/S2352226719300042"
"10.19044/esj.2016.v12n32p131",2016,11,"Hoabinhian and Austronesia: The Root of Diversity in the Western Part of Indonesia","http://eujournal.org/index.php/esj/article/download/8388/8026"
"10.5334/oq.96",2021,11,"New Chronological Constraints for the Late Pleistocene Fossil Assemblage and Associated Breccia from Ngalau Sampit, Sumatra","http://www.openquaternary.com/articles/10.5334/oq.96/galley/135/download/"
"10.1371/journal.pone.0196633",2018,11,"Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo)","https://storage.googleapis.com/plos-corpus-prod/10.1371/journal.pone.0196633/1/pone.0196633.pdf?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=wombat-sa%40plos-prod.iam.gserviceaccount.com%2F20210222%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20210222T171209Z&X-Goog-Expires=3600&X-Goog-SignedHeaders=host&X-Goog-Signature=02f71f1589c9f13da7086ab3346a30b2f48babd0b7f72fe19add8ed9aeed80721bf96820f84af23ee4948519270fe1990a54a55aec0007d6884ac4ca63654ca3aadbc9e0848aed940df72a84ee2715bf76ed8f2f06109c5fbebb373acaef6096c5fc3eda44912acdd0c164a5bdaaa4fe54828c763ffe6147d6a273744d8fd4d77d733285496e2005b23ecfb8d46ece0e618124134749466308c8065633b79241411d230548549fe093599b5c2add1d64e5a189f0ec13c003777192bcd4e5784044bfc30caf870a1e14fa83c6f2a26fc524f5a2d9147dc585f75eaa469d8652a6ea528c73691f8bfeaa10a9a7a0f3e8449382cdeeacd8e9ce60d65cb991cfab90"
"10.7152/jipa.v44i0.15659",2020,10,"A review of archaeological dating efforts at cave and rockshelter sites in the Indonesian Archipelago","https://journals.lib.washington.edu/index.php/JIPA/article/download/15659/13087"
"10.1353/asi.2016.0016",2016,10,"Aleti Tunu Bibi: Contextualizing a New Rock Art Site in East Timor and the Wider Asia-Pacific Region","https://muse.jhu.edu/pub/5/article/645609"
"10.1101/2022.03.15.484451",2022,10,"Geology and discovery record of the Trinil Pithecanthropus erectus site, Java","https://www.biorxiv.org/content/biorxiv/early/2022/03/19/2022.03.15.484451.full.pdf"
"10.1007/s12520-022-01620-4",2022,10,"The effect of edge serration on the performance of stone-tip projectiles: an experimental case study of the Maros Point from Holocene South Sulawesi","https://link.springer.com/content/pdf/10.1007/s12520-022-01620-4.pdf"
"10.1007/s12520-022-01540-3",2022,9,"Investigating the palaeoenvironmental context of Late Pleistocene human dispersals into Southeast Asia: a review of stable isotope applications","https://link.springer.com/content/pdf/10.1007/s12520-022-01540-3.pdf"
"10.24832/SBA.V18I1.6",2017,8,"Budaya Austronesia Di Indonesia Bagian Barat Dalam Kaitannya Dengan Migrasi Out Of Taiwan","http://sangkhakala.kemdikbud.go.id/index.php/SBA/article/download/6/pdf_1"
"10.22459/ta45.03.2017.06",2017,8,"Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan","https://doi.org/10.22459/ta45.03.2017.06"
"10.31390/gradschool_disstheses.7109",1999,8,"Holocene Environmental Change in Mainland Southeast Asia: Pollen and Charcoal Records From Cambodia.","https://repository.lsu.edu/cgi/viewcontent.cgi?article=8108&context=gradschool_disstheses"
"10.22459/ta45.03.2017.05",2017,7,"Using Dental Metrical Analysis to Determine the Terminal Pleistocene and Holocene Population History of Java","https://doi.org/10.22459/ta45.03.2017.05"
"10.15184/aqy.2023.144",2023,7,"Shark-tooth artefacts from middle Holocene Sulawesi","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3E5CC1DD59D9770DAE9BEFFF88C11AC3/S0003598X23001448a.pdf/div-class-title-shark-tooth-artefacts-from-middle-holocene-sulawesi-div.pdf"
"10.1016/j.ara.2022.100408",2022,6,"The missing deposits of South Sulawesi: New sources of evidence for the Pleistocene/Holocene archaeological transition","http://hdl.handle.net/10072/421659"
"10.30883/jba.v32i2.53",2012,6,"REKONSTRUKSI ASPEK BIOLOGIS DAN KONTEKS BUDAYA RANGKA MANUSIA HOLOSEN, SONG KEPLEK 5","https://berkalaarkeologi.kemdikbud.go.id/index.php/berkalaarkeologi/article/download/53/113"
"10.24832/wln.v18i1.427",2020,6,"EXCAVATION REPORT FOR LEANG RAKKOE: A NEW TOALEAN SITE WITH ENGRAVED ART IN THE BOMBORO VALLEY, MAROS REGENCY, SOUTH SULAWESI","https://walennae.kemdikbud.go.id/index.php/walennae/article/download/427/360"
"10.7152/jipa.v45i0.15693",2021,6,"Technology, subsistence strategies and diversity in South Sulawesi, Indonesia, during the Toalean Mid-Holocene period: recent advances in research","https://journals.lib.washington.edu/index.php/JIPA/article/download/15693/14015"
"10.26721/spafajournal.2021.v5.684",2021,6,"Incised stone artefact in the context of Middle Holocene burials at Cappalombo 1, South Sulawesi, Indonesia | Artefak batu bergores dalam konteks penguburan Holosen Tengah di Situs Cappalombo 1, Sulawesi Selatan, Indonesia","https://www.spafajournal.org/index.php/spafajournal/article/download/684/734"
"10.1017/rdc.2021.29",2021,5,"FIRST DIRECTLY DATED ROCK ART IN SOUTHEAST ASIA AND THE ARCHAEOLOGICAL IMPLICATIONS","http://hdl.handle.net/10072/408536"
"10.1007/978-3-031-54638-9_3",2024,5,"Some Implications of Pleistocene Figurative Rock Art in Indonesia and Australia","https://link.springer.com/content/pdf/10.1007/978-3-031-54638-9_3.pdf"
"10.22459/ta48.11.2018.04",2018,5,"The contemporary importance and future of Sulawesi’s ancient rock art","https://doi.org/10.22459/ta48.11.2018.04"
"10.24832/wln.v17i2.344",2019,5,"IDENTIFIKASI AWAL DAN REKONSTRUKSI ASPEK BIOLOGIS TEMUAN RANGKA MANUSIA LJ-1 SITUS LEANG JARIE, MAROS, SULAWESI SELATAN","https://walennae.kemdikbud.go.id/index.php/walennae/article/download/344/343"
"10.1038/s41598-023-50975-8",2024,5,"The microstratigraphy and depositional environments of Lida Ajer and Ngalau Gupin, two fossil-bearing tropical limestone caves of west Sumatra","https://www.nature.com/articles/s41598-023-50975-8.pdf"
"10.22459/ta48.11.2018.02",2018,4,"The joint Australian–Indonesian archaeological expedition to South Sulawesi in 1969 in context","https://doi.org/10.22459/ta48.11.2018.02"
"10.1353/asi.2020.0042",2020,4,"Lene Kici Cave Art: Possible Symbolic Evidence Associated with Palaeolithic Human Occupation in Timor-Leste","https://muse.jhu.edu/pub/5/article/793776"
"10.15496/publikation-40410",2020,4,"Detecting microscopic aspects of Late Pleistocene to Early/Mid Holocene lithic technology in Island Southeast Asia: Perspectives from North and Central Sulawesi","https://doi.org/10.15496/publikation-40410"
"10.1016/j.annpal.2023.102657",2023,4,"Transgressing the limits of palaeoenvironmental data for Southeast Asian Pleistocene faunal assemblages: A critical review to go further","https://www.sciencedirect.com/science/article/pii/S0753396923000721"
"10.24832/wln.v19i1.428",2021,3,"EXCAVATION REPORT FOR THE BOMBORO SITE: A CHERT QUARRY SITE IN THE BOMBORO VALLEY, MAROS REGENCY, SOUTH SULAWESI","https://walennae.kemdikbud.go.id/index.php/walennae/article/download/428/384"
"10.1016/j.anthro.2023.103159",2023,2,"Preliminary study of two deciduous human molars from the Late Pleistocene layers of Song Terus (East Java): A window into the last Homo erectus and the first Homo sapiens in Java","https://hal.science/hal-04174461"
"10.1038/s41598-022-25810-1",2022,2,"The historical impact of anthropogenic air-borne sulphur on the Pleistocene rock art of Sulawesi","https://www.nature.com/articles/s41598-022-25810-1.pdf"
"10.22459/ta48.11.2018.01",2018,2,"The archaeology of Sulawesi: An update, 2016","https://doi.org/10.22459/ta48.11.2018.01"
"10.22459/ta56.2024.05",2024,2,"Geochronology and palaeoenvironments of Sibrambang and Djambu caves, western Sumatra","https://doi.org/10.22459/ta56.2024.05"
"10.22459/ta56.2024.07",2024,2,"Environments, terrestrial ecosystems and mammalian species: An overview of Southeast Asia in the Late Pleistocene","https://doi.org/10.22459/ta56.2024.07"
"10.24164/pw.v10i1.398",2021,2,"Song Gede: Situs Gua Hunian Sejak Masa Pleistosen Akhir di Pulau Nusa Penida, Bali","http://purbawidya.kemdikbud.go.id/index.php/jurnal/article/download/398/218"
"10.1371/journal.pone.0288902",2023,1,"Rock art and frontier conflict in Southeast Asia: Insights from direct radiocarbon ages for the large human figures of Gua Sireh, Sarawak","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0288902&type=printable"
"10.24832/ke.v4i1.37",2019,1,"NEOLITHIC OCCUPATIONS ON THE SOUTHERN SLOPE OF THE MÜLLER MOUNTAINS: NANGA BALANG AND MUARA JOLOI (OKUPASI NEOLITIK DI LERENG SELATAN PEGUNUNGAN MÜLLER: NANGA BALANG DAN MUARA JOLOI)","https://kindaietam.kemdikbud.go.id/index.php/kindaietam/article/download/37/42"
"10.15379/ijmst.v10i5.2466",2023,1,"Development of Leangleang Ancient Park Area as a Leading Destination Based on Natural Tourism, Education and Special Interest","https://cosmosscholars.com/phms/index.php/ijmst/article/download/2466/1708"
"10.22459/ta56.2024.02",2024,1,"Eugène Dubois’ work in Sumatra","https://doi.org/10.22459/ta56.2024.02"
"10.22459/ta56.2024.04",2024,1,"Dubois and beyond: The historical background of cave exploration in Sumatra","https://doi.org/10.22459/ta56.2024.04"
"10.26721/SPAFAJOURNAL.V2I0.575",2018,0,"31 Days of Borneo","https://doi.org/10.26721/spafajournal.v2i0.575"
"10.1038/s41586-025-09968-y",2026,0,"Rock art from at least 67,800 years ago in Sulawesi","https://doi.org/10.1038/s41586-025-09968-y"
"10.2991/978-2-38476-070-1_54",2023,0,"Chronology of Lithic Culture in Prehistoric at Flores: Case Study on Liang Bua Site and Soa Basin","https://www.atlantis-press.com/article/125988200.pdf"
"10.5281/zenodo.18421711",2026,0,"Indonesia's Deep-Time Cave Art as a DSSM Stress Test: The ≥67.8 ka Sulawesi Anchor Case and the ≥51 ka Regional Symbolic Field","https://doi.org/10.5281/zenodo.18421711"
"10.5281/zenodo.18421710",2026,0,"Indonesia's Deep-Time Cave Art as a DSSM Stress Test: The ≥67.8 ka Sulawesi Anchor Case and the ≥51 ka Regional Symbolic Field","https://doi.org/10.5281/zenodo.18421710"
"10.22459/ta56.2024.01",2024,0,"Quaternary palaeontological and archaeological research in Sumatra","https://doi.org/10.22459/ta56.2024.01"
