site_id,site_name,lat,lon,coord_precision,region,country,date_bp,date_type,date_error,site_type,context_detail,cultural_period,species,source_citation,confidence,notes
NUSARC-0014,Leang Bulu Sipong 4,-4.95,119.7,approximate,Sulawesi,ID,43900,U-series,,cave,Maros-Pangkep karst,Upper_Paleolithic,Homo_sapiens,Aubert et al. 2019 Nature,high,Therianthropes hunting scene >=43.9 ka
NUSARC-0015,Leang Tedongnge,-4.95,119.65,approximate,Sulawesi,ID,45500,U-series,,cave,Maros-Pangkep karst border,Upper_Paleolithic,Homo_sapiens,Brumm et al. 2021 Sci Adv,high,Warty pig painting >=45.5 ka
NUSARC-0016,Leang Karampuang,-4.97,119.66,approximate,Sulawesi,ID,51200,laser_ablation,,cave,Maros-Pangkep karst,Upper_Paleolithic,Homo_sapiens,Aubert et al. 2024 Nature,high,Oldest narrative cave art >=51.2 ka
NUSARC-0017,Leang Burung 2,-4.98,119.67,approximate,Sulawesi,ID,35000,C14,420.0,rockshelter,Cliff-foot shelter Maros-Pangkep,Upper_Paleolithic,Homo_sapiens,Bulbeck et al. 2004,high,31260±320 BP uncal = ~35248 cal BP
NUSARC-0018,Talepu,-4.02,119.9,approximate,Sulawesi,ID,118000,luminescence,,open_air,Walanae Basin open-air site,Lower_Paleolithic,unknown,van den Bergh et al. 2016 Nature,high,Stone tools 118-194 ka; open-air on Sulawesi!
NUSARC-0019,Topogaro 2,-1.4,120.8,approximate,Sulawesi,ID,34000,C14,,rockshelter,Central Sulawesi rockshelter,Upper_Paleolithic,Homo_sapiens,Reepmeyer et al. 2016,medium,Late Pleistocene obsidian use
NUSARC-0020,Leang Panninge,-5.03,119.75,approximate,Sulawesi,ID,7200,C14,,cave,Maros-Pangkep karst,Mesolithic,Homo_sapiens,Carlhoff et al. 2021 Nature,high,aDNA - Holocene hunter-gatherer genome
NUSARC-0021,Niah Cave (Great Cave),3.82,110.87,exact,Kalimantan,MY,40000,C14,,cave,Great Cave - Sarawak karst,Upper_Paleolithic,Homo_sapiens,Barker et al. 2007 JHE,high,KEY CONTROL - zero volcanoes
NUSARC-0022,Niah Cave (Lobang Hangus),3.82,110.87,exact,Kalimantan,MY,40000,C14,,cave,Niah Cave complex,Upper_Paleolithic,Homo_sapiens,Barker et al. 2007 JHE,high,Multiple C14 dates through sequence
NUSARC-0023,Kimanis,4.1,115.0,approximate,Kalimantan,MY,35000,C14,,rockshelter,Limestone rockshelter Sabah,Upper_Paleolithic,Homo_sapiens,& Bellwood 1988,medium,Late Pleistocene occupation Borneo
NUSARC-0024,Gua Sireh,1.35,110.17,approximate,Kalimantan,MY,20000,C14,,cave,Limestone cave Sarawak,Upper_Paleolithic,Homo_sapiens,Ipoi 1993,medium,Pleistocene-Holocene sequence
NUSARC-0025,Madai Cave,5.0,118.3,approximate,Kalimantan,MY,15000,C14,,cave,Limestone cave Sabah,Upper_Paleolithic,Homo_sapiens,Bellwood 1988,medium,Late Pleistocene-Holocene
NUSARC-0026,Laili Cave,-8.65,127.1,approximate,Nusa_Tenggara,TL,44600,C14,,cave,Karst cave in Timor-Leste,Upper_Paleolithic,Homo_sapiens,Hawkins et al. 2017,high,Late Pleistocene foraging
NUSARC-0027,Jerimalai,-8.42,127.27,approximate,Nusa_Tenggara,TL,42000,C14,,rockshelter,Rock shelter East Timor,Upper_Paleolithic,Homo_sapiens,O'Connor et al. 2011 Science,high,42 ka; oldest fishhook 16-23 ka
NUSARC-0028,Liang Bua,-8.53,120.44,exact,Nusa_Tenggara,ID,95000,U-series,,cave,Limestone cave western Flores,Lower_Paleolithic,Homo_floresiensis,Sutikna et al. 2016 Nature,high,H. floresiensis type site
NUSARC-0029,Mata Menge,-8.65,121.1,approximate,Nusa_Tenggara,ID,700000,fission_track,,open_air,Open-air site So'a Basin Flores,Lower_Paleolithic,Homo_floresiensis,Brumm et al. 2010 Nature,high,Stone tools + faunal; open-air Flores
NUSARC-0030,Lene Hara,-8.4,127.3,approximate,Nusa_Tenggara,TL,35000,C14,,cave,Cave Timor-Leste,Upper_Paleolithic,Homo_sapiens,O'Connor et al. 2002,high,35 ka - one of oldest in Wallacea
NUSARC-0031,Asitau Kuru (Jerimalai),-8.42,127.27,approximate,Nusa_Tenggara,TL,44000,C14,,rockshelter,Rock shelter East Timor,Upper_Paleolithic,Homo_sapiens,Marwick et al. 2019,high,Extended 44ka sequence
NUSARC-0032,Tron Bon Lei,-8.25,124.6,approximate,Nusa_Tenggara,ID,12000,C14,,rockshelter,Rockshelter Alor Island,Mesolithic,Homo_sapiens,O'Connor et al. 2017 Antiquity,high,Pleistocene fish-hooks from burial
NUSARC-0033,Tabon Cave,9.3,117.9,approximate,Philippines,PH,47000,C14,,cave,Palawan limestone cave,Upper_Paleolithic,Homo_sapiens,Detroit et al. 2004,high,Key Pleistocene site Philippines
NUSARC-0034,Callao Cave,17.78,121.82,approximate,Philippines,PH,67000,U-series,,cave,Limestone cave Luzon,Lower_Paleolithic,Homo_luzonensis,Detroit et al. 2019 Nature,high,H. luzonensis; revised to 134 ka?
NUSARC-0035,Ille Cave,10.2,119.0,approximate,Philippines,PH,14000,C14,,cave,Limestone cave El Nido Palawan,Upper_Paleolithic,Homo_sapiens,Lewis et al. 2008,medium,Pleistocene-Holocene sequence
NUSARC-0036,Golo Cave,2.3,128.3,approximate,Maluku,ID,36000,C14,,cave,Morotai Island cave,Upper_Paleolithic,Homo_sapiens,Bellwood 1998,medium,Oldest Maluku site
NUSARC-0037,Daeo 2,2.35,128.35,approximate,Maluku,ID,12000,C14,,cave,Morotai Island cave,Mesolithic,Homo_sapiens,Bellwood et al. 1998,medium,Holocene occupation
NUSARC-0038,Uattamdi,0.75,127.5,approximate,Maluku,ID,6000,C14,,cave,Kayoa Island cave,Neolithic,Homo_sapiens,Bellwood et al. 1998,medium,Neolithic pottery + obsidian
NUSARC-0039,Christmas River,-24.1,46.2,approximate,Madagascar,MG,10500,C14,,open_air,Open-air site SW Madagascar,Mesolithic,Homo_sapiens,Hansford et al. 2018 Sci Adv,high,Oldest human evidence Madagascar; OPEN-AIR
NUSARC-0040,Lakaton'i Anja,-15.94,46.41,approximate,Madagascar,MG,4000,C14,,rockshelter,Rockshelter NW Madagascar,Neolithic,Homo_sapiens,Dewar & Wright 1993,medium,Early occupation evidence
NUSARC-0041,Andavakoera,-12.72,49.18,approximate,Madagascar,MG,2000,C14,,open_air,Open-air site NE Madagascar,Historical,Homo_sapiens,Dewar 1997,medium,First millennium settlement
NUSARC-0042,Gua Jing,-4.95,119.65,approximate,Sulawesi,ID,27800,U-series,,cave,Hand stencil with U-series date,Mesolithic,Homo_sapiens,Aubert et al. 2014 Nature 514:223-227,medium,Exact coordinates estimated from Maros karst region
NUSARC-0043,Leang Barugayya 1,-4.95,119.66,approximate,Sulawesi,ID,27200,U-series,,cave,Youngest dated stencil from the 2014 study; maximum age,Mesolithic,Homo_sapiens,Aubert et al. 2014 Nature 514:223-227,high,Shows art tradition lasted >=13 kyr on Sulawesi
NUSARC-0044,Leang Barugayya 2,-4.95,119.66,approximate,Sulawesi,ID,35700,U-series,,cave,Painting of indeterminate animal (pig?); minimum age,Mesolithic,Homo_sapiens,Aubert et al. 2014 Nature 514:223-227,high,Maros karst
NUSARC-0045,Leang Bulu Bettue,-4.98,119.67,approximate,Sulawesi,ID,40000,C14/U-series,,cave,Late Pleistocene occupation; stone artefacts + personal ornaments,Upper_Paleolithic,Homo_sapiens,Brumm et al. 2017 JHE 114:200-217,high,Maros karst; one of 5 key Stone Age caves in cluster
NUSARC-0046,Leang Jarie,-4.97,119.66,approximate,Sulawesi,ID,39400,U-series,,cave,Hand stencil; minimum age,Mesolithic,Homo_sapiens,Aubert et al. 2014 Nature 514:223-227,high,Maros karst; near Leang Timpuseng
NUSARC-0047,Leang Lompoa,-4.97,119.65,approximate,Sulawesi,ID,32200,U-series,,cave,Hand stencil with U-series date,Mesolithic,Homo_sapiens,Aubert et al. 2014 Nature 514:223-227,medium,Exact coordinates estimated from Maros karst region
NUSARC-0048,Lubang Jeriji Saleh,1.24,117.33,approximate,Kalimantan,ID,51800,U-series,,cave,Large reddish-orange figurative animal painting; minimum age from Ca-carbonate overlying art,Upper_Paleolithic,Homo_sapiens,Aubert et al. 2018 Nature 564:254-257,high,Was oldest figurative artwork globally at publication; East Kalimantan Sangkulirang-Mangkalihat karst
NUSARC-0049,Pacitan (Kali Baksoko),-8.17,111.1,approximate,Java,ID,80000,relative,,river_terrace,Solo River terrace deposits; hand-axes and cleavers in Kabuh Formation,Lower_Paleolithic,Homo_erectus,von Koenigswald 1936; Simanjuntak 1997,medium,Classic hand-axe assemblage; open-air river terrace; volcanic zone
NUSARC-0050,Punung (Gunung Sewu),-8.1,110.9,approximate,Java,ID,70000,relative,,open_air,Open-air site near Gunung Sewu karst; earliest modern human stone tools in Southeast Asia,Upper_Paleolithic,Homo_sapiens,Marwick 2009 PNAS; Westaway et al. 2007,high,Open-air modern human tools ~70 ka; critical for volcanic taphonomy discussion
NUSARC-0051,Goa Tabuhan,-8.05,111.35,approximate,Java,ID,55000,luminescence,5000,cave,"Cave in Tulungagung karst, East Java",Upper_Paleolithic,Homo_sapiens,Morwood et al. 2004,medium,Cave site with faunal remains; East Java karst
NUSARC-0052,Plawangan (Rembang),-6.72,111.35,approximate,Java,ID,3500,C14,,open_air,"Open-air coastal burial site, north Java coast near Rembang",Metal_Age,Homo_sapiens,Bintarti 1986,medium,Bronze-Iron Age burial; NON-VOLCANIC zone (north coast); control
NUSARC-0053,Batujaya,-6.15,107.15,approximate,Java,ID,1500,C14,,open_air,"Buddhist temple complex, North West Java coastal plain; earliest known temple in Java",Historical,Homo_sapiens,Manguin & Indradjaja 2011,high,4th-5th century CE Buddhist complex; alluvial plain; critical for early Java chronology
NUSARC-0054,Song Tritis,-8.03,110.95,approximate,Java,ID,12000,C14,,cave,"Cave site in Gunung Sewu karst, southern Java",Mesolithic,Homo_sapiens,Simanjuntak 2002,medium,Late Pleistocene-Holocene transition; Gunung Sewu complex
NUSARC-0055,Perning (Mojokerto child),-7.47,112.43,approximate,Java,ID,1490000,Ar-Ar,100000,river_terrace,"Pucangan Formation, near Mojokerto, East Java volcanic plain",Lower_Paleolithic,Homo_erectus,Swisher et al. 1994 Science,high,H. erectus child calvarium; VOLCANIC ZONE (Arjuno-Welirang); buried under volcanic deposits
NUSARC-0056,Semedo,-7.3,109.25,approximate,Java,ID,350000,relative,,river_terrace,"Bumiayu-Semedo, Central Java; H. erectus teeth + fauna",Lower_Paleolithic,Homo_erectus,Sémah et al. 2014,medium,Newly discovered H. erectus locality in Central Java
NUSARC-0057,Bukit Bunian,-2.5,103.5,approximate,Sumatra,ID,9000,C14,,open_air,Open-air site in South Sumatra highlands; Mesolithic tools,Mesolithic,Homo_sapiens,Simanjuntak 2002,medium,Highland Sumatra; near volcanic area
NUSARC-0058,Padang Bindu (Ogan Komering),-4.0,104.0,approximate,Sumatra,ID,10000,C14,,open_air,"Open-air megalithic and prehistoric site, South Sumatra",Mesolithic,Homo_sapiens,Simanjuntak & Forestier 2004,medium,Hoabinhian technology; South Sumatra lowlands
NUSARC-0059,Kota Tampan (Perak),4.5,101.0,approximate,Sumatra,MY,74000,luminescence,,open_air,"Open-air site sealed by Toba ash; Perak, Malay Peninsula",Upper_Paleolithic,Homo_sapiens,Petraglia et al. 2012,high,Toba supereruption ash directly sealing tool assemblage; KEY volcanic taphonomy case
NUSARC-0060,Gua Pawon,-6.84,107.56,approximate,Sumatra,ID,9500,C14,,cave,"Limestone cave near Bandung, West Java/Sundanese highlands",Mesolithic,Homo_sapiens,Yondri 2005,medium,Cave site near Tangkubanperahu volcano; Neolithic burials
NUSARC-0061,Buni Complex (Bekasi),-6.23,107.0,approximate,Sumatra,ID,2000,relative,,open_air,"Alluvial coastal plain, North West Java",Metal_Age,Homo_sapiens,Sutayasa 1972; Walker & Santoso 1977,medium,Iron Age pottery complex; coastal alluvial; Indian Ocean trade evidence
NUSARC-0062,Pilanduk Cave,9.4,118.2,approximate,Philippines,PH,22000,C14,,cave,"Cave in Quezon municipality, Palawan",Upper_Paleolithic,Homo_sapiens,Fox 1970,medium,One of earliest Palawan sites
NUSARC-0063,Cagayan Valley (flake tools),17.5,121.7,approximate,Philippines,PH,709000,relative,,open_air,Cagayan River terrace; butchered rhinoceros + stone tools,Lower_Paleolithic,unknown,Ingicco et al. 2018 Nature,high,709 ka butchery site; oldest Philippines; open-air
NUSARC-0064,Duyong Cave,9.25,117.8,approximate,Philippines,PH,5000,C14,,cave,Cave on Palawan; Neolithic burial,Neolithic,Homo_sapiens,Fox 1970,medium,Neolithic burial with jade and pottery
NUSARC-0065,Wolo Sege,-8.65,121.2,approximate,Nusa_Tenggara,ID,1000000,Ar-Ar,,open_air,Open-air site So'a Basin central Flores,Lower_Paleolithic,unknown,Brumm et al. 2010 Nature,high,1 Ma stone tools in So'a Basin; open-air site in volcanic terrain
NUSARC-0066,Gua Bintim (Alor),-8.22,124.55,approximate,Nusa_Tenggara,ID,15000,C14,,cave,Cave site on Alor Island,Upper_Paleolithic,Homo_sapiens,O'Connor et al. 2017,medium,Pleistocene occupation in Lesser Sundas
NUSARC-0067,Leang Bulu Sipong 1,-8.65,121.1,approximate,Nusa_Tenggara,ID,180000,U-series,,open_air,So'a Basin site with early hominin evidence,Lower_Paleolithic,Homo_floresiensis,van den Bergh et al. 2016,medium,Palaeo-ecological evidence; So'a Basin volcanic terrain
NUSARC-0068,Hatusua (Seram),-3.1,128.2,approximate,Maluku,ID,8000,C14,,cave,Cave on Seram Island,Mesolithic,Homo_sapiens,Latinis & Stark 2005,medium,Pre-Neolithic Seram; pottery transition
NUSARC-0069,Kria Cave (Aru Islands),-5.8,134.2,approximate,Maluku,ID,28000,C14,,cave,Cave on Aru Islands (Pleistocene Sahulland),Upper_Paleolithic,Homo_sapiens,O'Connor et al. 2005,high,28 ka; Aru was connected to Australia via Sahul; zero volcanoes = control
NUSARC-0070,Batu Ejaya,-5.3,119.6,approximate,Sulawesi,ID,4000,C14,,rockshelter,"Rockshelter with Neolithic burials, South Sulawesi",Neolithic,Homo_sapiens,Bulbeck 2004,medium,Neolithic jar burials; Austronesian expansion marker
NUSARC-0071,Paso (Lake Tondano),1.28,124.9,approximate,Sulawesi,ID,7500,C14,,open_air,"Open-air lake-shore site near Tondano caldera, North Sulawesi",Mesolithic,Homo_sapiens,Bellwood 2007,medium,Flexed burials; directly in volcanic caldera area; VOLCANIC taphonomy relevant
NUSARC-0072,Cabenge (Walanae),-4.0,120.0,approximate,Sulawesi,ID,200000,relative,,river_terrace,Walanae River terrace; stone tools + pygmy elephant,Lower_Paleolithic,unknown,van den Bergh et al. 2016,medium,Open-air river terrace; pre-Homo sapiens on Sulawesi?
NUSARC-0073,Taolambiby,-23.1,44.5,approximate,Madagascar,MG,1800,C14,,open_air,Open-air site in southwest Madagascar,Historical,Homo_sapiens,MacPhee & Burney 1991,medium,Early human impact on megafauna
NUSARC-0074,Antsirabe area (highland sites),-19.87,47.03,regional,Madagascar,MG,1200,C14,,open_air,Highland settlement sites near Antsirabe,Historical,Homo_sapiens,Dewar & Wright 1993,low,Central highlands; Austronesian settlement pattern
NUSARC-0075,Gua Tengkorak (Skull Cave),1.1,110.1,approximate,Kalimantan,MY,20000,C14,,cave,Limestone cave with burial; Sarawak,Upper_Paleolithic,Homo_sapiens,Harrisson 1957; Barker 2013,medium,Key Pleistocene site in non-volcanic Borneo; control
NUSARC-0076,Liang Jon (East Kalimantan),1.5,117.0,approximate,Kalimantan,ID,10000,C14,,cave,Cave in East Kalimantan karst,Mesolithic,Homo_sapiens,Arifin & Delanghe 2004,medium,Holocene cave occupation; non-volcanic Kalimantan
NUSARC-0077,Kendeng Lembu (Banyuwangi),-8.3,114.3,approximate,Java,ID,7000,C14,,open_air,Open-air Neolithic site; east Java volcanic zone,Neolithic,Homo_sapiens,Heekeren 1972,medium,Eastern Java; near Ijen volcanic complex; open-air
NUSARC-0078,Patiayam (Muria),-6.65,110.85,approximate,Java,ID,700000,relative,,river_terrace,Muria volcanic paleontological site; Java Man context,Lower_Paleolithic,Homo_erectus,Sartono 1979; de Vos et al. 1994,medium,Volcanic zone site; important for H. erectus biostratigraphy
NUSARC-0079,Gilimanuk (Bali),-8.17,114.44,approximate,Nusa_Tenggara,ID,2000,C14,,open_air,Metal Age burial site; northwestern Bali,Metal_Age,Homo_sapiens,Soejono 1977,high,Large Metal Age cemetery; Bali Strait crossing; near active volcanoes
NUSARC-0080,Sembiran (Bali),-8.18,115.41,approximate,Nusa_Tenggara,ID,2200,C14,,open_air,Ancient port site; North Bali coast,Metal_Age,Homo_sapiens,Ardika & Bellwood 1991,high,Indian Ocean trade site; rouletted ware; pre-Indianization evidence; near Batur/Agung
