Rank	Experiment	Test	p_value	BH_threshold	Status
55	E149c	Kingdom power vs eruptions rho	8.000000e-03	0.033133	SURVIVE
56	E029	Phonological clustering	1.000000e-02	0.033735	SURVIVE
57	E037	Prasasti dating MAE	1.000000e-02	0.034337	SURVIVE
58	E101	Burial depth multivariate rho	1.200000e-02	0.034940	SURVIVE
59	E104	Court zone candi-inscription Fisher	1.200000e-02	0.035542	SURVIVE
60	E099	Eruption x inscription decade rho	1.300000e-02	0.036145	SURVIVE
61	E149b	Kingdom power vs inscriptions rho	1.300000e-02	0.036747	SURVIVE
62	E061	Script simplification MW	2.700000e-02	0.037349	SURVIVE
63	E033	Indianization curve Spearman	3.000000e-02	0.037952	SURVIVE
64	E114	CCI z-score pre-literate	3.400000e-02	0.038554	SURVIVE
65	E048	Partial correlation length-controlled	3.800000e-02	0.039157	SURVIVE
66	E032	Chi2 eruption monthly	4.200000e-02	0.039759	FAIL
67	E053	Fisher Java aDNA	4.700000e-02	0.040361	FAIL
68	E149d	Volcano distance vs inscriptions rho	5.200000e-02	0.040964	FAIL
69	E043a	McNemar Bal vs Jav cognacy	6.400000e-02	0.041566	FAIL
70	E043b	McNemar Mal vs Jav cognacy	7.300000e-02	0.042169	FAIL
71	E129	Temple vs non-temple distance t-test	9.000000e-02	0.042771	FAIL
72	E039b	VCS continuous global	9.200000e-02	0.043373	FAIL
73	E034	Panji Malagasy info neg	1.000000e-01	0.043976	FAIL
74	E111	Script adoption lag percentile	1.000000e-01	0.044578	FAIL
75	E134	Eruption freq vs inscription Spearman	1.300000e-01	0.045181	FAIL
76	E067	Volcanic toponyms Spearman	1.460000e-01	0.045783	FAIL
77	E038	Volcanic vocab drift	1.500000e-01	0.046386	FAIL
78	E106	Colonial two Javas	2.170000e-01	0.046988	FAIL
79	E128	OV depth vs E083 MW	5.400000e-01	0.047590	FAIL
80	E121f	E083 buried fraction	5.770000e-01	0.048193	FAIL
81	E081	Cave ratio Fisher non-volcanic	7.600000e-01	0.048795	FAIL
82	E020	Cave bias universal Fisher	7.610000e-01	0.049398	FAIL
83	E039	VCS binary global	9.730000e-01	0.050000	FAIL
