surface,world,algorithm,Rown_pick,Rown_picks_hybrid1.0,cost_true,cost_map,boyce_vs_map_spearman,boyce_vs_auctrue_spearman
A_observed,7,maxent,hybrid(1.0),True,0.25077731808648707,0.79698758181631,0.40583972495671394,0.2
A_observed,7,randomforest,hybrid(1.0),True,0.10749034190658924,0.29571812951086945,0.48571428571428577,0.4285714285714286
A_observed,7,xgboost,hybrid(1.0),True,0.16374773260871955,0.4747007282407069,0.48571428571428577,0.6
A_observed,8,maxent,hybrid(1.0),True,0.2723124323642033,0.8268517613724043,-0.028571428571428574,-0.08571428571428573
A_observed,8,randomforest,hybrid(1.0),True,0.14391193115745948,0.28454639584178987,0.6,0.5428571428571429
A_observed,8,xgboost,hybrid(1.0),True,0.15018908801818565,0.3719569987092547,0.942857142857143,0.942857142857143
A_observed,9,maxent,hybrid(1.0),True,0.3129988248452895,0.784691975962714,0.23190841426097938,0.2
A_observed,9,randomforest,hybrid(1.0),True,0.17946973146237044,0.29687858086798213,0.5428571428571429,0.8285714285714287
A_observed,9,xgboost,hybrid(1.0),True,0.18476139342374653,0.36987294167736595,0.4285714285714286,0.6571428571428573
B_misspecified,0,maxent,hybrid(1.0),True,0.27404085429105407,0.40782617480988514,0.08571428571428573,0.2571428571428572
B_misspecified,0,randomforest,hybrid(1.0),True,0.1872029859799813,0.37929156362480376,0.8285714285714287,0.8857142857142858
B_misspecified,0,xgboost,hybrid(1.0),True,0.1840770716061224,0.3269276965795718,0.4285714285714286,0.6571428571428573
B_misspecified,1,maxent,hybrid(1.0),True,0.2780672468107578,0.4148546161073812,0.2898855178262242,0.08571428571428573
B_misspecified,1,randomforest,hybrid(1.0),True,0.13802379350310123,0.29596633276084194,0.6571428571428573,0.8285714285714287
B_misspecified,1,xgboost,hybrid(1.0),True,0.173770084394827,0.22828231687230668,-0.14285714285714288,0.3142857142857143
B_misspecified,2,maxent,hybrid(1.0),True,0.3048475080792976,0.4303442675006455,0.3714285714285715,0.4285714285714286
B_misspecified,2,randomforest,hybrid(1.0),True,0.14710882675862136,0.21026993889986229,0.942857142857143,0.942857142857143
B_misspecified,2,xgboost,hybrid(1.0),True,0.1436792080124243,0.2901991273375429,0.3142857142857143,0.3714285714285715
B_misspecified,3,maxent,hybrid(1.0),True,0.2673125369936237,0.38202710282101265,0.4285714285714286,0.5428571428571429
B_misspecified,3,randomforest,hybrid(1.0),True,0.08897725360679898,0.10005832147787225,0.4285714285714286,0.4285714285714286
B_misspecified,3,xgboost,hybrid(1.0),True,0.11111985310473205,0.11704943387020167,0.4285714285714286,0.4285714285714286
B_misspecified,4,maxent,hybrid(1.0),True,0.2884649363936116,0.4086183456236894,0.48571428571428577,0.08571428571428573
B_misspecified,4,randomforest,hybrid(1.0),True,0.16478510367076227,0.17485187807960073,0.7142857142857143,0.7714285714285715
B_misspecified,4,xgboost,hybrid(1.0),True,0.1863853595903021,0.2805813818845113,0.3142857142857143,0.5428571428571429
B_misspecified,5,maxent,hybrid(1.0),True,0.3047412720445267,0.4080202321977504,0.4285714285714286,0.4285714285714286
B_misspecified,5,randomforest,hybrid(1.0),True,0.21096792700889666,0.4468645567687314,0.7714285714285715,0.6571428571428573
B_misspecified,5,xgboost,hybrid(1.0),True,0.19383266005813882,0.31099043292876194,0.6,0.6
B_misspecified,6,maxent,hybrid(1.0),True,0.2643837209871589,0.41056303326832033,0.6,0.6
B_misspecified,6,randomforest,hybrid(1.0),True,0.14157570297664224,0.23171807699323616,0.942857142857143,0.942857142857143
B_misspecified,6,xgboost,hybrid(1.0),True,0.1672082587146495,0.41205101724926757,0.3714285714285715,0.3142857142857143
B_misspecified,7,maxent,hybrid(1.0),True,0.27957573666537505,0.40512197023999463,0.5428571428571429,0.08571428571428573
B_misspecified,7,randomforest,hybrid(1.0),True,0.19360288522762314,0.31087981263141945,0.8857142857142858,0.8857142857142858
B_misspecified,7,xgboost,hybrid(1.0),True,0.1943769483291099,0.3924710217565562,0.15179418517972906,0.3714285714285715
B_misspecified,8,maxent,hybrid(1.0),True,0.28637953234541935,0.39345187389661396,0.6,0.48571428571428577
B_misspecified,8,randomforest,hybrid(1.0),True,0.25799082780146143,0.45433604690731094,0.8116794499134279,0.8857142857142858
B_misspecified,8,xgboost,hybrid(1.0),True,0.21217307548425668,0.32532353881198217,0.6,0.6
B_misspecified,9,maxent,hybrid(1.0),True,0.3210429223586706,0.40433752161593706,0.2,-0.08571428571428573
B_misspecified,9,randomforest,hybrid(1.0),True,0.17863021127309298,0.15779635429393457,0.6571428571428573,0.5428571428571429
B_misspecified,9,xgboost,hybrid(1.0),True,0.18859711859212824,0.22447877924993978,0.6,0.6571428571428573
